Date,Symbol,Underlying Close Price (A),Underlying Previous Day Close Price (B),Underlying Log Returns (C) = LN(A/B),Previous Day Underlying Volatility (D),Current Day Underlying Daily Volatility (E) = Sqrt(0.995*D*D + 0.005*C*C),Underlying Annualised Volatility (F) = E*Sqrt(365)
10-Feb-22,BASF,2858.2,2958.1,-0.0344,0.0258,0.0259,0.4948
10-Feb-22,BASML,89.6,86.55,0.0346,0.0366,0.0366,0.6992
10-Feb-22,BATAINDIA,1900.85,1895.4,0.0029,0.0188,0.0187,0.3573
10-Feb-22,BAYERCROP,4609.75,4663.05,-0.0115,0.0171,0.0171,0.3267
10-Feb-22,BBETF0432,999.43,995.97,0.0035,0.0004,0.0005,0.0096
10-Feb-22,BBL,1943.05,1977.9,-0.0178,0.0261,0.0261,0.4986
10-Feb-22,BBOX,825.65,857.3,-0.0376,0.0336,0.0336,0.6419
10-Feb-22,BBTC,1072.25,1054.65,0.0166,0.023,0.023,0.4394
10-Feb-22,BCG,150.4,158.3,-0.0512,0.0443,0.0443,0.8464
10-Feb-22,BCLIND,452.8,441.1,0.0262,0.033,0.0329,0.6286
10-Feb-22,BCONCEPTS,66.95,69.95,-0.0438,0,0.0031,0.0592
10-Feb-22,BCP,6.15,5.9,0.0415,0.0344,0.0344,0.6572
10-Feb-22,BDL,464,473.8,-0.0209,0.0241,0.0241,0.4604
10-Feb-22,BEARDSELL,21.3,22.35,-0.0481,0.0357,0.0357,0.682
10-Feb-22,BECTORFOOD,358.6,359.6,-0.0028,0.017,0.0169,0.3229
10-Feb-22,BEDMUTHA,81.25,83.25,-0.0243,0.036,0.036,0.6878
10-Feb-22,BEL,202.8,202.6,0.001,0.0239,0.0238,0.4547
10-Feb-22,BEML,1860.65,1863.15,-0.0013,0.028,0.028,0.5349
10-Feb-22,BEPL,136.15,137.9,-0.0128,0.0317,0.0316,0.6037
10-Feb-22,BERGEPAINT,726.75,721.45,0.0073,0.0162,0.0161,0.3076
10-Feb-22,BESTAGRO,1011.4,1021.7,-0.0101,0.0326,0.0325,0.6209
10-Feb-22,BFINVEST,343.45,336,0.0219,0.0297,0.0297,0.5674
10-Feb-22,BFUTILITIE,394.8,392.1,0.0069,0.0325,0.0325,0.6209
10-Feb-22,BGRENERGY,91,90.95,0.0005,0.0425,0.0424,0.8101
10-Feb-22,BHAGCHEM,1097.8,1100.7,-0.0026,0.015,0.015,0.2866
10-Feb-22,BHAGERIA,251.7,248.1,0.0144,0.0285,0.0284,0.5426
10-Feb-22,BHAGYANGR,51.15,51.35,-0.0039,0.0359,0.0358,0.684
10-Feb-22,BHAGYAPROP,34.4,34.4,0,0.0303,0.0302,0.577
10-Feb-22,BHAIRAV,10,10,0,0,0,0
10-Feb-22,BHANDARI,8.25,8.6,-0.0415,0.0412,0.0412,0.7871
10-Feb-22,BHARATFORG,729.85,747.9,-0.0244,0.0247,0.0247,0.4719
10-Feb-22,BHARATGEAR,165.85,171.8,-0.0352,0.0379,0.0379,0.7241
10-Feb-22,BHARATRAS,13093.25,12921.5,0.0132,0.0285,0.0284,0.5426
10-Feb-22,BHARATWIRE,81.1,77.35,0.0473,0.0329,0.033,0.6305
